Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
120.0,12.0,12.0,0.14149974903391185
121.0,29.0,29.0,0.13811200791711142
122.0,11.0,11.0,0.13684995650102974
123.0,9.0,9.0,0.13582662195336498
124.0,11.0,11.0,0.13458708423165694
125.0,11.0,11.0,0.1333597573898063
126.0,9.0,9.0,0.13236457926747472
127.0,10.0,10.0,0.1312682389856227
128.0,10.0,10.0,0.13018172149743212
129.0,11.0,11.0,0.1289977925725096
130.0,12.0,12.0,0.12771953144747564
131.0,10.0,10.0,0.12666480903467267
132.0,11.0,11.0,0.12551552576417416
133.0,18.0,18.0,0.12365925067160305
134.0,8.0,8.0,0.12284384305673886
135.0,9.0,9.0,0.12193349979548372
136.0,10.0,10.0,0.12093061803469064
137.0,11.0,11.0,0.11983782317608474
138.0,10.0,10.0,0.11885371788401605
139.0,10.0,10.0,0.1178784298026119
140.0,12.0,12.0,0.1167196116424989
141.0,10.0,10.0,0.11576344434467715
142.0,8.0,8.0,0.11500468236636631
143.0,9.0,9.0,0.11415757983597488
144.0,17.0,17.0,0.11257609805077676
145.0,12.0,12.0,0.11147423695183176
146.0,12.0,12.0,0.11038421192293071
147.0,10.0,10.0,0.1094848074069187
148.0,9.0,9.0,0.10868223527212688
149.0,13.0,13.0,0.1075343811601142
150.0,10.0,10.0,0.1066605100482984
151.0,11.0,11.0,0.10570829225412752
152.0,10.0,10.0,0.10485078220723634
153.0,11.0,11.0,0.1039163923249191
154.0,24.0,24.0,0.1019095501713753
155.0,21.0,21.0,0.10018877224746914
156.0,9.0,9.0,0.09946119386275319
157.0,8.0,8.0,0.09881938654588732
158.0,12.0,12.0,0.09786529852024776
159.0,17.0,17.0,0.09653119139737115
160.0,9.0,9.0,0.09583311975391097
161.0,10.0,10.0,0.09506408751217423
162.0,9.0,9.0,0.094377851411525
163.0,12.0,12.0,0.0934714738650044
164.0,40.0,40.0,0.09051994704660668
165.0,37.0,37.0,0.0878827852430102
166.0,40.0,40.0,0.0851288728141004
167.0,10.0,10.0,0.08445574657046587
168.0,10.0,10.0,0.08378865128301234
169.0,33.0,33.0,0.08162935264696325
170.0,10.0,10.0,0.08098758077850292
171.0,10.0,10.0,0.0803515589428982
172.0,10.0,10.0,0.07972123562203268
173.0,10.0,10.0,0.07909655975937274
174.0,9.0,9.0,0.07853913823021379
175.0,10.0,10.0,0.0779250535124381
176.0,23.0,23.0,0.07653345761235228
177.0,23.0,23.0,0.07517037165151559
178.0,9.0,9.0,0.07464462379448256
179.0,10.0,10.0,0.07406543245091456
180.0,20.0,20.0,0.07292257127447123
181.0,12.0,12.0,0.07224666397393602
182.0,9.0,9.0,0.07174450249530051
183.0,10.0,10.0,0.07119129514008586
184.0,11.0,11.0,0.07058849012641857
185.0,10.0,10.0,0.07004564020416298
186.0,10.0,10.0,0.06950765401159398
187.0,10.0,10.0,0.06897448797153583
188.0,18.0,18.0,0.0680267982787911
189.0,9.0,9.0,0.06755867965260472
190.0,9.0,9.0,0.06709433747203802
191.0,10.0,10.0,0.0665827938340754
192.0,10.0,10.0,0.06607583343335006
193.0,10.0,10.0,0.06557341520579238
194.0,9.0,9.0,0.06512508871613099
195.0,18.0,18.0,0.06423925688978041
196.0,10.0,10.0,0.06375329369240773
197.0,10.0,10.0,0.06327168454121382
198.0,9.0,9.0,0.06284192676512122
199.0,18.0,18.0,0.061992784177155945
200.0,26.0,26.0,0.06079027722859995
201.0,10.0,10.0,0.06033521558261144
202.0,9.0,9.0,0.05992914713378685
203.0,10.0,10.0,0.059481800887275164
204.0,14.0,14.0,0.05886224161625042
205.0,10.0,10.0,0.05842445443906096
206.0,10.0,10.0,0.05799058966915723
207.0,10.0,10.0,0.05756061216325562
208.0,10.0,10.0,0.057134487092943075
209.0,10.0,10.0,0.056712179941855886
210.0,12.0,12.0,0.05621040287192512
211.0,10.0,10.0,0.055796375165440205
212.0,11.0,11.0,0.05534522791493154
213.0,11.0,11.0,0.05489852498650961
214.0,11.0,11.0,0.05445622259846285
215.0,9.0,9.0,0.05409758165211523
216.0,8.0,8.0,0.05378121933524476
217.0,10.0,10.0,0.053388956193139665
218.0,11.0,11.0,0.05296152480324772
219.0,12.0,12.0,0.05250003685594222
220.0,12.0,12.0,0.05204350616111982
221.0,11.0,11.0,0.05162932900981008
222.0,10.0,10.0,0.05125634598994318
223.0,11.0,11.0,0.050849923276526245
224.0,9.0,9.0,0.05052037536881382
225.0,10.0,10.0,0.05015732815352868
226.0,9.0,9.0,0.049833367606951076
227.0,11.0,11.0,0.049440962876020775
228.0,10.0,10.0,0.049087586787818875
229.0,10.0,10.0,0.048737376815517985
