episode,reward,epsilon,loss
247,10.0,0.05,8736178425036.8
248,10.0,0.05,5378295896473.6
249,10.0,0.05,20602882804940.8
250,10.0,0.05,3935803047936.0
251,10.0,0.05,45981643053465.6
252,10.0,0.05,8794438998425.6
253,10.0,0.05,11525106964889.6
254,10.0,0.05,27447142396723.2
255,10.0,0.05,9392720792780.8
256,10.0,0.05,22842279074201.6
257,10.0,0.05,36723318436659.2
258,10.0,0.05,14129118176870.4
259,10.0,0.05,27688682402611.2
260,10.0,0.05,19022773541273.6
261,10.0,0.05,5057695455641.6
262,11.0,0.05,13055233961611.637
263,10.0,0.05,32113299377356.8
264,12.0,0.05,34648629455530.668
265,12.0,0.05,35873158632789.336
266,10.0,0.05,6416046909030.4
267,10.0,0.05,14841751588044.8
268,10.0,0.05,7557122559180.8
269,13.0,0.05,7360798397361.23
270,11.0,0.05,34876334002548.363
271,10.0,0.05,55417684741324.8
272,10.0,0.05,6555323688550.4
273,10.0,0.05,7896156084633.6
274,11.0,0.05,13032894038016.0
275,10.0,0.05,20593323134156.8
276,10.0,0.05,17254693693030.4
277,10.0,0.05,5183664521216.0
278,10.0,0.05,11195770896384.0
279,10.0,0.05,24614682932019.2
280,10.0,0.05,31123702638182.4
281,10.0,0.05,13840292039884.8
282,10.0,0.05,15225148964864.0
283,10.0,0.05,15897151674777.6
284,12.0,0.05,32449885743786.668
285,10.0,0.05,21176891650867.2
286,14.0,0.05,9247075013193.143
287,11.0,0.05,8934492209152.0
288,10.0,0.05,5236454732595.2
289,10.0,0.05,9428025724108.8
290,10.0,0.05,20551969564262.4
291,10.0,0.05,13621620755660.8
292,10.0,0.05,46417068444876.8
293,10.0,0.05,61696997484134.4
294,10.0,0.05,44640952877056.0
295,10.0,0.05,6834181387059.2
296,10.0,0.05,69362151974502.4
297,14.0,0.05,40872779878985.14
298,10.0,0.05,17557083737292.8
299,10.0,0.05,22867887679078.4
300,10.0,0.05,18764773654528.0
301,10.0,0.05,28979244295782.4
302,11.0,0.05,21978687715886.547
303,10.0,0.05,47633406584422.4
304,10.0,0.05,5568703555174.4
305,10.0,0.05,6369826524364.8
306,12.0,0.05,17943057552725.332
307,10.0,0.05,30011764401766.4
308,10.0,0.05,13644974043955.2
309,10.0,0.05,16703545324339.2
310,10.0,0.05,17273089222246.4
311,13.0,0.05,39783897447187.695
312,10.0,0.05,27876223477350.4
313,10.0,0.05,58562235616460.8
314,10.0,0.05,17159185104896.0
315,10.0,0.05,11453299464601.6
316,12.0,0.05,16462396751872.0
317,12.0,0.05,13972913048234.666
318,10.0,0.05,19764637466624.0
319,10.0,0.05,27940860828057.6
320,10.0,0.05,31308401501798.4
321,10.0,0.05,33466141566566.4
322,10.0,0.05,13800915881164.8
323,10.0,0.05,71854019438182.4
324,10.0,0.05,32971521120665.6
325,10.0,0.05,33082544298393.6
326,10.0,0.05,10856919098982.4
327,10.0,0.05,12195470776729.6
328,10.0,0.05,25758195646464.0
329,11.0,0.05,24682442859240.727
330,11.0,0.05,35592106707874.91
331,11.0,0.05,45882242844113.45
332,15.0,0.05,11762683475831.467
333,129.0,0.05,32899671581751.566
334,8.0,0.05,12843209654272.0
335,10.0,0.05,13170961501388.8
336,8.0,0.05,10714407272448.0
337,8.0,0.05,46025210691584.0
338,8.0,0.05,21892926939136.0
339,8.0,0.05,61765655912448.0
340,8.0,0.05,43953167998976.0
341,8.0,0.05,15530339393536.0
342,8.0,0.05,56902243549184.0
343,8.0,0.05,15759553101824.0
344,8.0,0.05,125992724783104.0
345,8.0,0.05,3292106850304.0
346,8.0,0.05,36677405687808.0
347,8.0,0.05,3412651147264.0
348,8.0,0.05,7422471749632.0
349,8.0,0.05,58752801538048.0
350,8.0,0.05,947814727680.0
351,8.0,0.05,9831228973056.0
352,9.0,0.05,96883462577265.78
353,8.0,0.05,39273270599680.0
354,11.0,0.05,8468482478452.363
355,8.0,0.05,71450889674752.0
356,10.0,0.05,15112131877273.6
357,8.0,0.05,43663422799872.0
358,9.0,0.05,25335016303274.668
359,10.0,0.05,79851533277593.6
360,8.0,0.05,15421681123328.0
361,8.0,0.05,17981684326400.0
362,8.0,0.05,23103775547392.0
363,8.0,0.05,40479919726592.0
364,10.0,0.05,21133600797491.2
365,8.0,0.05,9328625729536.0
366,8.0,0.05,27469230637056.0
367,8.0,0.05,8727713275904.0
368,8.0,0.05,53312859955200.0
369,8.0,0.05,13221121351680.0
