episode,reward,epsilon,loss
422,10.0,0.05,61107510181888.0
423,10.0,0.05,78058247159808.0
424,13.0,0.05,96182475544733.53
425,10.0,0.05,298472648160051.2
426,14.0,0.05,160906379301449.16
427,11.0,0.05,101861281878388.36
428,10.0,0.05,207055003582464.0
429,10.0,0.05,90231670204006.4
430,10.0,0.05,177767876919296.0
431,10.0,0.05,114903330848768.0
432,10.0,0.05,98050038772531.2
433,10.0,0.05,198991991013376.0
434,11.0,0.05,217514926002548.38
435,10.0,0.05,235643758182400.0
436,12.0,0.05,175289237067093.34
437,10.0,0.05,429182633692364.8
438,10.0,0.05,197053670385254.4
439,10.0,0.05,217328929000652.8
440,11.0,0.05,162181475348107.62
441,10.0,0.05,328784327527628.8
442,10.0,0.05,113696825199820.8
443,11.0,0.05,95492861543889.45
444,10.0,0.05,194370047102156.8
445,10.0,0.05,182552817251123.2
446,10.0,0.05,184922452629913.6
447,10.0,0.05,286825978108313.6
448,13.0,0.05,304453919642545.25
449,10.0,0.05,236256045616332.8
450,12.0,0.05,94782941036544.0
451,10.0,0.05,200953134107852.8
452,10.0,0.05,50845724128051.2
453,10.0,0.05,380158226517196.8
454,10.0,0.05,197489097231564.8
455,10.0,0.05,53938692187750.4
456,10.0,0.05,268963074696806.4
457,10.0,0.05,196445228079513.6
458,10.0,0.05,189908596975206.4
459,10.0,0.05,277424288196198.4
460,10.0,0.05,109283473411276.8
461,10.0,0.05,339476738998272.0
462,10.0,0.05,127713502088396.8
463,10.0,0.05,456406372607590.4
464,10.0,0.05,337369599102156.8
465,10.0,0.05,112088338084659.2
466,10.0,0.05,229275781719654.4
467,10.0,0.05,194922330823065.6
468,10.0,0.05,182199161297305.6
469,10.0,0.05,277752750224179.2
470,14.0,0.05,222256969772470.84
471,10.0,0.05,110227327497011.2
472,12.0,0.05,284992839352320.0
473,10.0,0.05,83186799817523.2
474,11.0,0.05,315159389619665.44
475,10.0,0.05,112834882253619.2
476,10.0,0.05,197168089740083.2
477,10.0,0.05,341031450260275.2
478,10.0,0.05,187811890410291.2
479,10.0,0.05,312423435206656.0
480,10.0,0.05,252684017860608.0
481,11.0,0.05,198887956736186.2
482,10.0,0.05,282871763409305.6
483,10.0,0.05,284463552947814.4
484,10.0,0.05,416253422128332.8
485,10.0,0.05,198256389154406.4
486,10.0,0.05,298162468998348.8
487,11.0,0.05,329269422158941.06
488,10.0,0.05,351991442807193.6
489,10.0,0.05,108959926688153.6
490,12.0,0.05,309177526255616.0
491,12.0,0.05,231706476238165.34
492,10.0,0.05,351841737401958.4
493,10.0,0.05,315679781473484.8
494,10.0,0.05,312768363233280.0
495,10.0,0.05,351049780664729.6
496,13.0,0.05,159198421753225.84
497,11.0,0.05,278550681461480.72
498,10.0,0.05,424040543236915.2
499,10.0,0.05,145241694797824.0
500,10.0,0.05,251484444819456.0
501,10.0,0.05,180550234013696.0
502,10.0,0.05,394017206016409.6
503,10.0,0.05,256911747108044.8
504,10.0,0.05,288331717515673.6
505,12.0,0.05,451302725779456.0
506,10.0,0.05,230741787856076.8
507,10.0,0.05,464228551386726.4
508,10.0,0.05,240880709743411.2
509,11.0,0.05,113649122088773.81
510,10.0,0.05,274809601445068.8
511,10.0,0.05,116426465188249.6
512,10.0,0.05,348435617991884.8
513,10.0,0.05,338842471733657.6
514,10.0,0.05,146092435544473.6
515,10.0,0.05,276205173473280.0
516,10.0,0.05,546849630978048.0
517,10.0,0.05,117581643566284.8
518,10.0,0.05,143396917215232.0
519,10.0,0.05,394924766579916.8
520,10.0,0.05,389349201307238.4
521,10.0,0.05,218667391175884.8
522,12.0,0.05,251453019521024.0
523,11.0,0.05,87944429067543.27
524,11.0,0.05,427142192991138.94
525,10.0,0.05,144100031253708.8
526,10.0,0.05,609967321540198.4
527,10.0,0.05,317136237179699.2
528,10.0,0.05,251965612857753.6
529,12.0,0.05,156254028518741.34
530,10.0,0.05,203320277440921.6
531,10.0,0.05,219922249862348.8
532,10.0,0.05,209703486986649.6
533,11.0,0.05,270575065509515.62
534,11.0,0.05,159326377535674.2
535,11.0,0.05,325797473204782.56
536,10.0,0.05,199700591725772.8
537,13.0,0.05,188297645452366.78
538,10.0,0.05,205460081108582.4
539,11.0,0.05,180277910342562.9
540,12.0,0.05,228194557100032.0
541,10.0,0.05,44017718499737.6
542,14.0,0.05,45593498091520.0
543,11.0,0.05,27425696776192.0
544,13.0,0.05,16712761585979.076
545,17.0,0.05,4526328878742.588
546,15.0,0.05,1093083503001.6
547,10.0,0.05,543296018841.6
548,12.0,0.05,347266696533.3333
549,36.0,0.05,171260942336.0
550,13.0,0.05,85242789888.0
551,70.0,0.05,30316856678.4
552,93.0,0.05,4410190868.645162
553,87.0,0.05,5326279993.379311
554,86.0,0.05,2346395412.4651165
555,47.0,0.05,3151963491.4042554
556,18.0,0.05,3853454257.7777777
557,31.0,0.05,1726016769.032258
558,35.0,0.05,3381233053.257143
559,111.0,0.05,14504804668.828829
560,148.0,0.05,36448089748.75676
561,19.0,0.05,86465189726.3158
562,15.0,0.05,45490904507.73333
563,29.0,0.05,111699323621.51724
564,106.0,0.05,156747414788.8302
565,500.0,0.05,3774882411736.064
566,82.0,0.05,5671898791936.0
567,32.0,0.05,6857949670400.0
568,130.0,0.05,9698566069137.723
569,178.0,0.05,7819741737558.292
570,181.0,0.05,12498567578414.674
571,57.0,0.05,11320998266556.63
572,99.0,0.05,18255647312140.93
573,271.0,0.05,13430956377091.78
574,44.0,0.05,7298099853870.546
575,79.0,0.05,16181904106612.658
576,76.0,0.05,16804273064474.947
577,186.0,0.05,15586112435453.248
578,78.0,0.05,28371554356932.92
579,19.0,0.05,47576741524965.055
580,31.0,0.05,14492632925745.549
581,23.0,0.05,51670776721942.26
582,71.0,0.05,20497167243812.055
583,20.0,0.05,25426307665100.8
584,47.0,0.05,14124015634126.979
585,87.0,0.05,14159966942831.816
586,172.0,0.05,29221015062766.14
587,65.0,0.05,51564114882370.95
588,14.0,0.05,26351999685193.145
589,313.0,0.05,42639397234498.25
590,16.0,0.05,170074879569920.0
591,21.0,0.05,39233099520877.71
592,163.0,0.05,63967790903069.84
593,25.0,0.05,46175016071987.2
594,20.0,0.05,26105664618496.0
595,13.0,0.05,78511044447940.92
596,15.0,0.05,25019592492100.266
597,62.0,0.05,55883329351019.35
598,25.0,0.05,44139431864565.76
599,65.0,0.05,80399149227149.78
600,9.0,0.05,86734733428508.44
601,10.0,0.05,23200704076185.6
602,13.0,0.05,180239152286168.62
603,26.0,0.05,51529537731977.84
604,10.0,0.05,13667245483622.4
605,14.0,0.05,59593622140635.43
606,9.0,0.05,69530354071779.555
607,12.0,0.05,122879775954261.33
608,8.0,0.05,209432176492544.0
609,11.0,0.05,90872944084433.45
610,8.0,0.05,92431861678080.0
611,9.0,0.05,26783527439928.89
612,16.0,0.05,175000067375104.0
613,15.0,0.05,126375866435720.53
614,11.0,0.05,54911241075246.55
615,15.0,0.05,131545134347059.2
616,8.0,0.05,94828328124416.0
617,31.0,0.05,43122757396281.805
618,329.0,0.05,49797989252771.41
619,30.0,0.05,70362655319654.4
620,196.0,0.05,65657737797464.81
621,238.0,0.05,69689086049202.555
622,8.0,0.05,203380752252928.0
623,15.0,0.05,144517774005589.34
624,8.0,0.05,56180634484736.0
625,8.0,0.05,310835149799424.0
626,12.0,0.05,173769135860394.66
627,10.0,0.05,206924652530892.8
628,13.0,0.05,91852222234624.0
629,12.0,0.05,94986547516757.33
630,10.0,0.05,171303550792499.2
631,11.0,0.05,173417545906734.53
632,8.0,0.05,257308499116032.0
633,12.0,0.05,172409029733034.66
634,8.0,0.05,83519155863552.0
635,8.0,0.05,295500537004032.0
636,9.0,0.05,450943782456888.9
637,11.0,0.05,174799782841250.9
638,9.0,0.05,155470935883776.0
639,13.0,0.05,69753077760000.0
640,13.0,0.05,67929135342198.16
641,13.0,0.05,152390816517828.94
642,10.0,0.05,168269007054438.4
643,17.0,0.05,108769671126558.12
644,26.0,0.05,39409283150139.08
645,16.0,0.05,43111461019648.0
